epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.5865,2.13014,3.5653,1.4007,0.72617,0.12291,0.06264,0.0312,2.11531,2.48851,1.35459,0.000143934,0.000143934,0.000143934
2,105.575,2.10233,2.17393,1.30653,0.65135,0.16384,0.13477,0.07503,2.02206,1.83327,1.27389,0.000277492,0.000277492,0.000277492
3,155.958,2.03581,1.79772,1.28867,0.58414,0.19822,0.1566,0.08987,1.98856,1.62449,1.26243,0.000399566,0.000399566,0.000399566
4,206.002,1.96976,1.61359,1.26053,0.55219,0.20081,0.18582,0.10801,1.92178,1.49615,1.24813,0.000383322,0.000383322,0.000383322
5,256.071,1.95342,1.53533,1.25823,0.48744,0.22922,0.19986,0.11257,1.89527,1.44056,1.22234,0.000366096,0.000366096,0.000366096
6,306.626,1.9211,1.48232,1.23961,0.51333,0.22854,0.20459,0.1204,1.8643,1.41063,1.22687,0.00034887,0.00034887,0.00034887
7,357.663,1.90272,1.44541,1.23347,0.52171,0.2364,0.2381,0.13941,1.86725,1.4243,1.22549,0.000331644,0.000331644,0.000331644
8,407.972,1.87623,1.42044,1.22597,0.53521,0.22843,0.23556,0.14406,1.85224,1.38107,1.22846,0.000314418,0.000314418,0.000314418
9,458.75,1.87269,1.41362,1.22583,0.54039,0.24174,0.23197,0.13953,1.84023,1.34303,1.20699,0.000297192,0.000297192,0.000297192
10,509.68,1.8777,1.40607,1.22091,0.54385,0.24406,0.25193,0.15401,1.82328,1.33321,1.20402,0.000279966,0.000279966,0.000279966
11,560.842,1.86015,1.38721,1.21856,0.54395,0.24753,0.24514,0.14937,1.82206,1.32423,1.20299,0.00026274,0.00026274,0.00026274
12,611.484,1.84795,1.37253,1.21506,0.48743,0.24578,0.24698,0.15372,1.80493,1.32349,1.20942,0.000245514,0.000245514,0.000245514
13,661.746,1.83875,1.35858,1.20428,0.54801,0.253,0.25985,0.16034,1.81119,1.29476,1.20627,0.000228288,0.000228288,0.000228288
14,712.265,1.83735,1.35243,1.21012,0.55936,0.2541,0.25212,0.15559,1.79708,1.29702,1.19972,0.000211062,0.000211062,0.000211062
15,763.061,1.82549,1.34815,1.20537,0.54955,0.25607,0.26209,0.16368,1.7923,1.28853,1.19561,0.000193836,0.000193836,0.000193836
16,814.544,1.83948,1.39462,1.22304,0.40038,0.29771,0.27117,0.16924,1.78282,1.33517,1.1816,0.00017661,0.00017661,0.00017661
17,862.998,1.82756,1.36315,1.21435,0.4091,0.32172,0.2825,0.17673,1.77629,1.32008,1.18528,0.000159384,0.000159384,0.000159384
18,911.228,1.82212,1.34766,1.21558,0.50427,0.26758,0.289,0.18087,1.77118,1.30572,1.1877,0.000142158,0.000142158,0.000142158
19,959.683,1.81796,1.34337,1.21545,0.4623,0.29925,0.28761,0.18535,1.76909,1.29841,1.18246,0.000124932,0.000124932,0.000124932
20,1007.67,1.80872,1.32479,1.21194,0.44464,0.30831,0.29344,0.18607,1.77052,1.28825,1.18549,0.000107706,0.000107706,0.000107706
21,1055.49,1.81343,1.32349,1.20667,0.42248,0.33665,0.29369,0.18909,1.76697,1.28821,1.17966,9.048e-05,9.048e-05,9.048e-05
22,1103.43,1.80106,1.30547,1.20205,0.3865,0.34351,0.29976,0.19334,1.76583,1.28259,1.1846,7.3254e-05,7.3254e-05,7.3254e-05
23,1151.38,1.79931,1.29384,1.20027,0.37626,0.34119,0.30133,0.19729,1.768,1.27884,1.1793,5.6028e-05,5.6028e-05,5.6028e-05
24,1198.96,1.79066,1.29488,1.19723,0.3942,0.34902,0.30937,0.20683,1.76464,1.27403,1.18161,3.8802e-05,3.8802e-05,3.8802e-05
25,1246.71,1.79199,1.29293,1.19424,0.39337,0.35426,0.31042,0.20797,1.75917,1.2667,1.18003,2.1576e-05,2.1576e-05,2.1576e-05
